grain_production,avar_temperture,water_per_capit,rain_height,grain_yield,grain_stock,grain_export,grain_import,grain_consumption,foreast_coverage,co2emision_per_capit
0.755639487,0.982962749,1.755176802,0.613347171,1.206183405,0.357657525,2.646950625,0.006632556,0.331160109,1.146627566,0.562937063
0.369192363,0.421744152,1.792426638,0.55419186,0.596820424,0.289690238,1.247096781,0.031078264,0.163323209,0.640762463,2.225381176
1.045440121,1.657089229,3.664674353,1.827587763,1.16241836,0.544128543,1.738183301,0.963615691,0.899948994,1.88856305,0.30717643
0.595467715,-0.355327751,7.027802414,0.557305297,0.902193764,0.342047813,1.636650162,0.224559409,0.355431842,1.652492669,2.055313539
5.429755622,0.461593994,0.174719469,0.669389044,1.345535239,12.61115133,0.148297838,2.606784158,6.078621158,0.741935484,0.904390691
0.218699124,1.467802483,0.05144025,0.052928436,1.631603752,0.212487204,0.032129293,2.144210726,0.47221294,0,0.341453628
2.989377242,0.564539417,0.257201249,0.72646873,1.230460619,1.336256384,2.122591422,2.609626682,3.115127806,1.180351906,1.041499484
2.591268281,1.570747906,0.126826823,1.123950907,0.705418441,1.562597207,0.843708366,0.175099488,2.620388996,0.809384164,0.242577095
0.575813155,1.716863991,0.677592257,2.804169299,1.153000282,0.309787742,0.008918451,1.172635967,0.758065815,1.551319648,0.264989109
0.085381312,0.740542882,0.29888559,1.731071203,1.350043418,0.21756036,0.01555012,2.284631419,0.345148292,2.259530792,1.241889258
0.18734306,0.425064973,0.523271507,0.259453118,0.302405083,0.134893927,0.506750979,0.042448361,0.109563451,0.06744868,2.245156483
0.365959575,1.394744441,0.317510508,0.786661854,0.848006344,0.234405841,0.117997972,2.160128861,0.610710851,1.214076246,0.518113035
0.246227408,1.779959573,0.133035129,1.193484343,0.32630736,0.100487521,0.040018692,0.733371234,0.333927938,0.404692082,0.089648057
0.200829539,1.716863991,0.399105387,2.436783684,0.824037114,0.132292309,0.002515461,0.859768808,0.310188481,0.775659824,0.168749284
0.040657768,0.763788623,0.120618517,1.093854345,0.903421238,0.1088127,0.005030921,1.441917756,0.204116752,2.158357771,1.60179984
1.193315397,-0.33872365,2.793737709,0.477393737,0.661564125,0.544583826,2.55925252,0.068410081,0.806907354,1.517595308,1.491058122
0.005235927,1.637164308,0.006208306,0.061230936,1.249903815,0.189072636,0,1.49876824,0.179334036,0.03372434,2.30711911
0.155709334,1.245307537,0.079821077,0.513717174,1.126564945,0.110438712,0.107593112,0.306613606,0.180632787,0.236070381,1.07841339
0.251740998,1.746751372,0.563182046,1.683331829,0.723027121,0.284226839,0.501034023,0.449118818,0.231135023,0.978005865,0.545798464
0.346602511,0.657522379,0.232368025,0.615422796,0.726977357,0.258340733,0.320721231,1.090960773,0.428566403,0.910557185,0.690817379
0.664109927,0.551256136,0.345891335,0.586364047,0.963188088,0.209430302,2.700118316,0.01648664,0.224385778,0.573313783,0.661813596
4.358691191,0.567860237,0.839008213,0.742035917,1.84808562,2.729878459,5.299389529,0.708925526,3.805509554,1.011730205,2.159463487
0.327542943,1.623881028,0.819496395,1.889856511,1.212834085,0.179771849,0.399500885,1.404206936,0.435592431,1.247800587,0.254442279
